Train_No,Start_Time,End_Time,Total_Distance,Journey_Duration_Hours,Route_Category
5619,1900-01-01 13:20:00,1900-01-01 17:30:00,153,4.166666666666667,Short
5620,1900-01-01 08:45:00,1900-01-01 12:50:00,153,4.083333333333333,Short
5631,1900-01-01 17:30:00,1900-01-01 05:55:00,380,12.416666666666666,Medium
5632,1900-01-01 19:20:00,1900-01-01 07:45:00,379,12.416666666666666,Medium
5715,1900-01-01 00:00:00,1900-01-01 00:00:00,87,0.0,Short
5716,1900-01-01 00:00:00,1900-01-01 00:00:00,87,0.0,Short
5719,1900-01-01 00:00:00,1900-01-01 00:00:00,204,0.0,Short
5720,1900-01-01 00:00:00,1900-01-01 00:00:00,205,0.0,Short
5863,1900-01-01 18:20:00,1900-01-01 21:25:00,89,3.0833333333333335,Short
5864,1900-01-01 05:00:00,1900-01-01 07:45:00,88,2.75,Short
5865,1900-01-01 08:15:00,1900-01-01 20:20:00,426,12.083333333333334,Medium
5866,1900-01-01 06:00:00,1900-01-01 17:45:00,425,11.75,Medium
6001,1900-01-01 21:50:00,1900-01-01 10:30:00,649,12.666666666666666,Medium
6002,1900-01-01 15:00:00,1900-01-01 03:30:00,649,12.5,Medium
6006,1900-01-01 19:25:00,1900-01-01 10:30:00,699,15.083333333333334,Medium
6009,1900-01-01 14:10:00,1900-01-01 20:15:00,1844,6.083333333333333,Long
6010,1900-01-01 19:15:00,1900-01-01 04:30:00,1843,9.25,Long
6041,1900-01-01 18:20:00,1900-01-01 11:00:00,849,16.666666666666668,Long
6042,1900-01-01 16:15:00,1900-01-01 08:30:00,851,16.25,Long
6043,1900-01-01 22:30:00,1900-01-01 14:30:00,849,16.0,Long
6044,1900-01-01 15:15:00,1900-01-01 07:20:00,852,16.083333333333332,Long
6046,1900-01-01 14:45:00,1900-01-01 08:45:00,852,18.0,Long
6047,1900-01-01 18:20:00,1900-01-01 10:30:00,849,16.166666666666668,Long
6048,1900-01-01 13:30:00,1900-01-01 06:30:00,852,17.0,Long
6049,1900-01-01 14:45:00,1900-01-01 05:50:00,855,15.083333333333334,Long
6050,1900-01-01 13:00:00,1900-01-01 05:30:00,857,16.5,Long
6053,1900-01-01 18:35:00,1900-01-01 05:10:00,626,10.583333333333334,Medium
6054,1900-01-01 15:40:00,1900-01-01 05:00:00,627,13.333333333333334,Medium
6057,1900-01-01 23:50:00,1900-01-01 05:30:00,1656,5.666666666666668,Long
6058,1900-01-01 15:15:00,1900-01-01 19:00:00,1655,3.75,Long
6065,1900-01-01 17:20:00,1900-01-01 06:45:00,500,13.416666666666666,Medium
6066,1900-01-01 15:55:00,1900-01-01 02:30:00,501,10.583333333333334,Medium
6067,1900-01-01 19:45:00,1900-01-01 05:40:00,522,9.916666666666666,Medium
6068,1900-01-01 17:30:00,1900-01-01 05:25:00,522,11.916666666666666,Medium
6081,1900-01-01 00:00:00,1900-01-01 00:00:00,45,0.0,Short
6082,1900-01-01 00:00:00,1900-01-01 00:00:00,45,0.0,Short
6412,1900-01-01 00:00:00,1900-01-01 00:00:00,2462,0.0,Long
6512,1900-01-01 00:00:00,1900-01-01 00:00:00,77,0.0,Short
6513,1900-01-01 00:00:00,1900-01-01 00:00:00,17,0.0,Short
6541,1900-01-01 18:00:00,1900-01-01 11:35:00,881,17.583333333333332,Long
6542,1900-01-01 13:35:00,1900-01-01 06:20:00,878,16.75,Long
6547,1900-01-01 00:00:00,1900-01-01 00:00:00,632,0.0,Medium
6548,1900-01-01 14:45:00,1900-01-01 04:30:00,634,13.75,Medium
6579,1900-01-01 18:35:00,1900-01-01 14:35:00,1089,20.0,Long
6580,1900-01-01 13:45:00,1900-01-01 09:05:00,1086,19.333333333333332,Long
6581,1900-01-01 20:15:00,1900-01-01 09:31:00,607,13.266666666666667,Medium
6582,1900-01-01 19:10:00,1900-01-01 08:26:00,604,13.266666666666667,Medium
6591,1900-01-01 00:00:00,1900-01-01 00:00:00,62,0.0,Short
6592,1900-01-01 00:00:00,1900-01-01 00:00:00,61,0.0,Short
6593,1900-01-01 00:00:00,1900-01-01 00:00:00,10,0.0,Short
6594,1900-01-01 00:00:00,1900-01-01 00:00:00,10,0.0,Short
6595,1900-01-01 00:00:00,1900-01-01 00:00:00,33,0.0,Short
6596,1900-01-01 00:00:00,1900-01-01 00:00:00,33,0.0,Short
6647,1900-01-01 05:30:00,1900-01-01 07:40:00,89,2.1666666666666665,Short
6648,1900-01-01 16:00:00,1900-01-01 18:30:00,89,2.5,Short
6769,1900-01-01 04:50:00,1900-01-01 07:30:00,116,2.6666666666666665,Short
6770,1900-01-01 19:25:00,1900-01-01 22:30:00,116,3.0833333333333335,Short
6851,1900-01-01 00:00:00,1900-01-01 00:00:00,10,0.0,Short
6852,1900-01-01 00:00:00,1900-01-01 00:00:00,10,0.0,Short
6853,1900-01-01 00:00:00,1900-01-01 00:00:00,10,0.0,Short
6854,1900-01-01 00:00:00,1900-01-01 00:00:00,10,0.0,Short
6919,1900-01-01 06:25:00,1900-01-01 13:21:00,247,6.933333333333334,Short
6920,1900-01-01 13:30:00,1900-01-01 20:21:00,248,6.85,Short
7005,1900-01-01 21:30:00,1900-01-01 17:30:00,2276,20.0,Long
7006,1900-01-01 01:30:00,1900-01-01 23:15:00,2297,21.75,Long
7007,1900-01-01 22:00:00,1900-01-01 13:45:00,2023,15.75,Long
7008,1900-01-01 05:00:00,1900-01-01 22:10:00,2033,17.166666666666668,Long
7016,1900-01-01 18:45:00,1900-01-01 07:50:00,670,13.083333333333334,Medium
7044,1900-01-01 16:45:00,1900-01-01 07:50:00,735,15.083333333333334,Medium
7061,1900-01-01 09:00:00,1900-01-01 13:30:00,217,4.5,Short
7062,1900-01-01 00:00:00,1900-01-01 00:00:00,437,0.0,Medium
7075,1900-01-01 19:20:00,1900-01-01 05:30:00,554,10.166666666666666,Medium
7076,1900-01-01 18:10:00,1900-01-01 06:00:00,553,11.833333333333334,Medium
7109,1900-01-01 15:55:00,1900-01-01 23:10:00,1589,7.25,Long
7110,1900-01-01 02:15:00,1900-01-01 10:30:00,1593,8.25,Long
7113,1900-01-01 16:00:00,1900-01-01 23:10:00,1543,7.166666666666667,Long
7133,1900-01-01 15:30:00,1900-01-01 23:10:00,1508,7.666666666666667,Long
7134,1900-01-01 02:15:00,1900-01-01 10:30:00,1511,8.25,Long
7141,1900-01-01 16:15:00,1900-01-01 23:10:00,1560,6.916666666666667,Long
7142,1900-01-01 02:15:00,1900-01-01 08:30:00,1563,6.25,Long
7146,1900-01-01 17:00:00,1900-01-01 06:30:00,763,13.5,Medium
7149,1900-01-01 07:30:00,1900-01-01 08:45:00,2563,1.25,Long
7211,1900-01-01 23:50:00,1900-01-01 06:30:00,1433,6.666666666666668,Long
7212,1900-01-01 09:30:00,1900-01-01 13:30:00,1436,4.0,Long
7213,1900-01-01 04:00:00,1900-01-01 06:30:00,1221,2.5,Long
7214,1900-01-01 09:30:00,1900-01-01 09:35:00,1226,0.08333333333333333,Long
7217,1900-01-01 23:50:00,1900-01-01 06:30:00,1360,6.666666666666668,Long
7218,1900-01-01 09:30:00,1900-01-01 13:45:00,1363,4.25,Long
7410,1900-01-01 09:15:00,1900-01-01 09:30:00,1147,0.25,Long
7417,1900-01-01 07:30:00,1900-01-01 11:55:00,1330,4.416666666666667,Long
7418,1900-01-01 22:00:00,1900-01-01 04:00:00,1331,6.0,Long
7425,1900-01-01 18:45:00,1900-01-01 06:00:00,537,11.25,Medium
7426,1900-01-01 17:50:00,1900-01-01 05:10:00,537,11.333333333333334,Medium
7429,1900-01-01 18:30:00,1900-01-01 07:00:00,742,12.5,Medium
7430,1900-01-01 14:15:00,1900-01-01 04:00:00,744,13.75,Medium
7431,1900-01-01 20:10:00,1900-01-01 07:10:00,597,11.0,Medium
7432,1900-01-01 17:00:00,1900-01-01 04:00:00,597,11.0,Medium
7435,1900-01-01 18:00:00,1900-01-01 06:00:00,555,12.0,Medium
7436,1900-01-01 19:15:00,1900-01-01 07:20:00,554,12.083333333333334,Medium
7438,1900-01-01 13:00:00,1900-01-01 19:45:00,1533,6.75,Long
7439,1900-01-01 22:50:00,1900-01-01 05:00:00,1533,6.166666666666668,Long
7487,1900-01-01 22:30:00,1900-01-01 10:45:00,735,12.25,Medium
7505,1900-01-01 11:00:00,1900-01-01 03:45:00,1973,16.75,Long
7509,1900-01-01 13:25:00,1900-01-01 03:45:00,1886,14.333333333333334,Long
7517,1900-01-01 22:30:00,1900-01-01 07:45:00,350,9.25,Medium
7525,1900-01-01 12:00:00,1900-01-01 21:15:00,322,9.25,Medium
7526,1900-01-01 05:00:00,1900-01-01 15:00:00,322,10.0,Medium
7603,1900-01-01 18:00:00,1900-01-01 06:00:00,624,12.0,Medium
7604,1900-01-01 15:25:00,1900-01-01 06:55:00,624,15.5,Medium
7607,1900-01-01 18:45:00,1900-01-01 14:00:00,1014,19.25,Long
7608,1900-01-01 15:45:00,1900-01-01 11:30:00,1016,19.75,Long
7613,1900-01-01 12:10:00,1900-01-01 23:10:00,1636,11.0,Long
7614,1900-01-01 02:15:00,1900-01-01 13:15:00,1641,11.0,Long
7644,1900-01-01 20:10:00,1900-01-01 07:45:00,597,11.583333333333334,Medium
7645,1900-01-01 23:00:00,1900-01-01 08:15:00,587,9.25,Medium
7757,1900-01-01 05:30:00,1900-01-01 10:45:00,314,5.25,Medium
7758,1900-01-01 17:30:00,1900-01-01 22:50:00,314,5.333333333333333,Medium
7941,1900-01-01 19:00:00,1900-01-01 06:00:00,587,11.0,Medium
7942,1900-01-01 19:00:00,1900-01-01 05:30:00,597,10.5,Medium
8001,1900-01-01 10:10:00,1900-01-01 10:45:00,39,0.5833333333333334,Short
8002,1900-01-01 18:25:00,1900-01-01 19:10:00,39,0.75,Short
8014,1900-01-01 08:25:00,1900-01-01 09:05:00,12,0.6666666666666666,Short
8017,1900-01-01 05:10:00,1900-01-01 06:00:00,39,0.8333333333333334,Short
8018,1900-01-01 21:40:00,1900-01-01 22:35:00,39,0.9166666666666666,Short
8035,1900-01-01 12:15:00,1900-01-01 15:10:00,120,2.9166666666666665,Short
8036,1900-01-01 15:20:00,1900-01-01 18:20:00,120,3.0,Short
8051,1900-01-01 06:05:00,1900-01-01 06:34:00,39,0.48333333333333334,Short
8052,1900-01-01 18:35:00,1900-01-01 19:20:00,39,0.75,Short
8061,1900-01-01 20:20:00,1900-01-01 06:35:00,1847,10.25,Long
8062,1900-01-01 12:45:00,1900-01-01 23:20:00,1838,10.583333333333334,Long
8063,1900-01-01 19:00:00,1900-01-01 22:00:00,115,3.0,Short
8064,1900-01-01 00:00:00,1900-01-01 00:00:00,2039,0.0,Long
8065,1900-01-01 15:10:00,1900-01-01 17:50:00,115,2.6666666666666665,Short
8082,1900-01-01 22:20:00,1900-01-01 22:50:00,30,0.5,Short
8087,1900-01-01 06:55:00,1900-01-01 07:23:00,30,0.4666666666666667,Short
8101,1900-01-01 21:15:00,1900-01-01 22:35:00,40,1.3333333333333333,Short
8102,1900-01-01 20:00:00,1900-01-01 20:55:00,40,0.9166666666666666,Short
8301,1900-01-01 09:30:00,1900-01-01 16:40:00,1567,7.166666666666667,Long
8302,1900-01-01 00:30:00,1900-01-01 06:35:00,1567,6.083333333333333,Long
8403,1900-01-01 21:25:00,1900-01-01 06:45:00,495,9.333333333333334,Medium
8404,1900-01-01 19:10:00,1900-01-01 04:00:00,497,8.833333333333334,Medium
8501,1900-01-01 23:00:00,1900-01-01 12:00:00,700,13.0,Medium
8502,1900-01-01 16:30:00,1900-01-01 04:50:00,698,12.333333333333334,Medium
8511,1900-01-01 15:00:00,1900-01-01 03:00:00,471,12.0,Medium
8512,1900-01-01 22:15:00,1900-01-01 10:00:00,471,11.75,Medium
8567,1900-01-01 23:00:00,1900-01-01 03:45:00,1571,4.75,Long
8568,1900-01-01 05:45:00,1900-01-01 12:30:00,1578,6.75,Long
8573,1900-01-01 22:55:00,1900-01-01 13:25:00,760,14.5,Medium
8574,1900-01-01 15:30:00,1900-01-01 06:50:00,759,15.333333333333334,Medium
8581,1900-01-01 23:30:00,1900-01-01 23:50:00,11,0.3333333333333333,Short
8582,1900-01-01 04:45:00,1900-01-01 05:00:00,11,0.25,Short
8617,1900-01-01 14:05:00,1900-01-01 13:55:00,1365,23.833333333333332,Long
8618,1900-01-01 22:50:00,1900-01-01 22:30:00,1356,23.666666666666668,Long
8627,1900-01-01 12:50:00,1900-01-01 22:10:00,484,9.333333333333334,Medium
8628,1900-01-01 05:45:00,1900-01-01 15:15:00,481,9.5,Medium
8872,1900-01-01 21:30:00,1900-01-01 00:15:00,133,2.75,Short
9003,1900-01-01 16:05:00,1900-01-01 06:00:00,1355,13.916666666666666,Long
9004,1900-01-01 16:15:00,1900-01-01 06:10:00,1358,13.916666666666666,Long
9005,1900-01-01 16:00:00,1900-01-01 07:55:00,1373,15.916666666666666,Long
9006,1900-01-01 14:50:00,1900-01-01 06:55:00,1376,16.083333333333332,Long
9011,1900-01-01 11:15:00,1900-01-01 09:25:00,1209,22.166666666666668,Long
9012,1900-01-01 14:50:00,1900-01-01 12:45:00,1211,21.916666666666668,Long
9433,1900-01-01 00:25:00,1900-01-01 13:50:00,780,13.416666666666666,Medium
9434,1900-01-01 16:35:00,1900-01-01 06:15:00,780,13.666666666666666,Medium
9621,1900-01-01 06:30:00,1900-01-01 04:45:00,1281,22.25,Long
9622,1900-01-01 06:15:00,1900-01-01 03:25:00,1281,21.166666666666668,Long
9721,1900-01-01 06:15:00,1900-01-01 13:30:00,429,7.25,Medium
9722,1900-01-01 15:05:00,1900-01-01 22:05:00,429,7.0,Medium
9761,1900-01-01 04:20:00,1900-01-01 07:05:00,125,2.75,Short
9809,1900-01-01 21:10:00,1900-01-01 04:20:00,447,7.166666666666668,Medium
9810,1900-01-01 05:15:00,1900-01-01 13:15:00,450,8.0,Medium
10103,1900-01-01 07:10:00,1900-01-01 18:45:00,590,11.583333333333334,Medium
10104,1900-01-01 09:15:00,1900-01-01 21:40:00,594,12.416666666666666,Medium
10111,1900-01-01 23:05:00,1900-01-01 10:45:00,590,11.666666666666666,Medium
10112,1900-01-01 18:00:00,1900-01-01 05:50:00,594,11.833333333333334,Medium
10215,1900-01-01 21:30:00,1900-01-01 10:55:00,726,13.416666666666666,Medium
10216,1900-01-01 13:50:00,1900-01-01 03:15:00,727,13.416666666666666,Medium
11001,1900-01-01 05:00:00,1900-01-01 12:15:00,348,7.25,Medium
11002,1900-01-01 13:00:00,1900-01-01 20:25:00,348,7.416666666666667,Medium
11003,1900-01-01 00:05:00,1900-01-01 10:40:00,502,10.583333333333334,Medium
11004,1900-01-01 18:50:00,1900-01-01 06:45:00,504,11.916666666666666,Medium
11005,1900-01-01 21:30:00,1900-01-01 07:15:00,1636,9.75,Long
11006,1900-01-01 20:50:00,1900-01-01 05:40:00,1639,8.833333333333334,Long
11007,1900-01-01 07:00:00,1900-01-01 11:05:00,191,4.083333333333333,Short
11008,1900-01-01 15:15:00,1900-01-01 19:17:00,191,4.033333333333333,Short
11009,1900-01-01 14:30:00,1900-01-01 18:40:00,191,4.166666666666667,Short
11010,1900-01-01 06:05:00,1900-01-01 09:55:00,191,3.8333333333333335,Short
11011,1900-01-01 12:05:00,1900-01-01 04:45:00,723,16.666666666666668,Medium
11012,1900-01-01 06:30:00,1900-01-01 23:45:00,723,17.25,Medium
11013,1900-01-01 22:35:00,1900-01-01 07:15:00,1515,8.666666666666666,Long
11014,1900-01-01 00:00:00,1900-01-01 00:00:00,1515,0.0,Long
11015,1900-01-01 22:45:00,1900-01-01 07:05:00,1678,8.333333333333334,Long
11016,1900-01-01 19:00:00,1900-01-01 04:20:00,1677,9.333333333333334,Long
11017,1900-01-01 12:05:00,1900-01-01 18:35:00,1631,6.5,Long
11018,1900-01-01 14:00:00,1900-01-01 23:45:00,1634,9.75,Long
11019,1900-01-01 15:10:00,1900-01-01 04:15:00,1941,13.083333333333334,Long
11020,1900-01-01 15:25:00,1900-01-01 03:55:00,1941,12.5,Long
11021,1900-01-01 21:30:00,1900-01-01 11:45:00,1843,14.25,Long
11022,1900-01-01 00:00:00,1900-01-01 00:00:00,1845,0.0,Long
11023,1900-01-01 17:50:00,1900-01-01 06:05:00,517,12.25,Medium
11024,1900-01-01 22:50:00,1900-01-01 11:50:00,517,13.0,Medium
11025,1900-01-01 00:25:00,1900-01-01 12:05:00,545,11.666666666666666,Medium
11026,1900-01-01 11:45:00,1900-01-01 21:50:00,545,10.083333333333334,Medium
11027,1900-01-01 23:45:00,1900-01-01 03:30:00,1281,3.75,Long
11028,1900-01-01 23:55:00,1900-01-01 03:45:00,1283,3.833333333333332,Long
11029,1900-01-01 08:40:00,1900-01-01 20:25:00,517,11.75,Medium
11030,1900-01-01 07:55:00,1900-01-01 20:05:00,517,12.166666666666666,Medium
11031,1900-01-01 10:10:00,1900-01-01 12:20:00,108,2.1666666666666665,Short
11032,1900-01-01 14:50:00,1900-01-01 17:40:00,108,2.8333333333333335,Short
11033,1900-01-01 00:00:00,1900-01-01 00:00:00,1955,0.0,Long
11034,1900-01-01 16:45:00,1900-01-01 08:05:00,1953,15.333333333333334,Long
11035,1900-01-01 21:30:00,1900-01-01 21:40:00,1210,0.16666666666666666,Long
11036,1900-01-01 06:15:00,1900-01-01 05:40:00,1213,23.416666666666668,Long
11037,1900-01-01 16:15:00,1900-01-01 01:05:00,1777,8.833333333333334,Long
11038,1900-01-01 00:00:00,1900-01-01 00:00:00,1777,0.0,Long
11039,1900-01-01 00:00:00,1900-01-01 00:00:00,1352,0.0,Long
11040,1900-01-01 08:20:00,1900-01-01 12:45:00,1353,4.416666666666667,Long
11041,1900-01-01 14:00:00,1900-01-01 16:30:00,1281,2.5,Long
11042,1900-01-01 12:20:00,1900-01-01 13:35:00,1283,1.25,Long
11043,1900-01-01 00:15:00,1900-01-01 10:10:00,1696,9.916666666666666,Long
11044,1900-01-01 18:00:00,1900-01-01 05:45:00,1700,11.75,Long
11045,1900-01-01 00:00:00,1900-01-01 00:00:00,2894,0.0,Long
11046,1900-01-01 13:50:00,1900-01-01 03:35:00,2892,13.75,Long
11047,1900-01-01 00:10:00,1900-01-01 06:25:00,278,6.25,Short
11048,1900-01-01 23:30:00,1900-01-01 05:15:00,279,5.75,Short
11049,1900-01-01 00:00:00,1900-01-01 00:00:00,949,0.0,Long
11050,1900-01-01 12:50:00,1900-01-01 07:45:00,949,18.916666666666668,Long
11051,1900-01-01 23:35:00,1900-01-01 06:20:00,314,6.75,Medium
11052,1900-01-01 23:55:00,1900-01-01 07:30:00,314,7.583333333333332,Medium
11053,1900-01-01 00:00:00,1900-01-01 00:00:00,1552,0.0,Long
11054,1900-01-01 05:20:00,1900-01-01 12:15:00,1551,6.916666666666667,Long
11055,1900-01-01 00:00:00,1900-01-01 00:00:00,1732,0.0,Long
11056,1900-01-01 06:20:00,1900-01-01 16:15:00,1732,9.916666666666666,Long
11057,1900-01-01 23:30:00,1900-01-01 16:30:00,2026,17.0,Long
11058,1900-01-01 08:30:00,1900-01-01 04:05:00,2029,19.583333333333332,Long
11059,1900-01-01 00:00:00,1900-01-01 00:00:00,1772,0.0,Long
11060,1900-01-01 05:15:00,1900-01-01 16:15:00,1770,11.0,Long
11061,1900-01-01 12:15:00,1900-01-01 01:10:00,1885,12.916666666666666,Long
11062,1900-01-01 13:05:00,1900-01-01 03:40:00,1883,14.583333333333334,Long
11063,1900-01-01 23:00:00,1900-01-01 05:20:00,352,6.333333333333332,Medium
