Train_No,Source_Station,Destination_Station,Total_Stops,Total_Distance
6512,MARIKUPPAM,BANASWADI,14,77
6513,BANGARPET JN,MARIKUPPAM,6,17
6541,YESVANTPUR J,PANDHARPUR,14,881
6542,PANDHARPUR,YESVANTPUR J,14,878
6547,YESVANTPUR J,ERNAKULAM. J,14,632
6548,ERNAKULAM. J,YESVANTPUR J,13,634
6579,YESVANTPUR J,VISAKHAPATNA,21,1089
6580,VISAKHAPATNA,YESVANTPUR J,21,1086
6581,YESVANTPUR J,BELGAUM,85,607
6582,BELGAUM,YESVANTPUR J,85,604
6591,YESVANTPUR J,HOSUR,9,62
6592,HOSUR,YESVANTPUR J,9,61
6593,WHITE FIELD,BAIYYAPPANAH,4,10
6594,BAIYYAPPANAH,WHITE FIELD,4,10
6595,YESVANTPUR J,DEVANHALLI,7,33
6596,DEVANHALLI,YESVANTPUR J,7,33
6647,KORBA,BILASPUR JN.,8,89
6648,BILASPUR JN.,KORBA,8,89
6769,PALGHAT TOWN,PALANI,11,116
6770,PALANI,PALGHAT TOWN,11,116
6851,KARAIKAL,NAGORE,3,10
6852,NAGORE,KARAIKAL,3,10
6853,KARAIKAL,NAGORE,3,10
6854,NAGORE,KARAIKAL,3,10
6919,HUBLI JN.,BIJAPUR JN,36,247
6920,BIJAPUR JN,HUBLI JN.,36,248
7005,HYDERABAD DE,RAXAUL JN.,34,2276
7006,RAXAUL JN.,HYDERABAD DE,34,2297
7007,SECUNDERABAD,DARBHANGA JN,27,2023
7008,DARBHANGA JN,SECUNDERABAD,28,2033
7016,KACHEGUDA,VISAKHAPATNA,18,670
7044,TIRUPATI,VISAKHAPATNA,11,735
7061,KAKINADA POR,VIJAYWADA JN,8,217
7062,VELANKANNI,TIRUPATI,14,437
7075,SECUNDERABAD,KAKINADA TOW,17,554
7076,KAKINADA TOW,SECUNDERABAD,17,553
7109,HYDERABAD DE,QUILON,40,1589
7110,QUILON,HYDERABAD DE,40,1593
7113,KARIM NAGAR,QUILON,37,1543
7133,HYDERABAD DE,QUILON,39,1508
7134,QUILON,HYDERABAD DE,39,1511
7141,HYDERABAD DE,QUILON,39,1560
7142,QUILON,HYDERABAD DE,39,1563
7146,TIRUPATI,KACHEGUDA,16,763
7149,SECUNDERABAD,GUWAHATI,37,2563
7211,KAKINADA TOW,QUILON,36,1433
7212,QUILON,KAKINADA TOW,36,1436
7213,VIJAYWADA JN,QUILON,29,1221
7214,QUILON,VIJAYWADA JN,30,1226
7217,NARASAPUR,QUILON,37,1360
7218,QUILON,NARASAPUR,37,1363
7410,TIRUPATI,AURANGABAD,29,1147
7417,TIRUPATI,NAGARSOL,33,1330
7418,NAGARSOL,TIRUPATI,33,1331
7425,KACHEGUDA,KAKINADA POR,15,537
7426,KAKINADA POR,KACHEGUDA,15,537
7429,SECUNDERABAD,TIRUPATI,11,742
7430,TIRUPATI,SECUNDERABAD,11,744
7431,KAKINADA TOW,TIRUPATI,13,597
7432,TIRUPATI,KAKINADA TOW,14,597
7435,KAKINADA TOW,SECUNDERABAD,14,555
7436,SECUNDERABAD,KAKINADA TOW,15,554
7438,KACHEGUDA,TATANAGAR JN,28,1533
7439,TATANAGAR JN,KACHEGUDA,28,1533
7487,TIRUPATI,VISAKHAPATNA,11,735
7505,AURANGABAD,QUILON,49,1973
7509,ADILABAD,QUILON,47,1886
7517,BIDAR,PANDHARPUR,9,350
7525,SILIGURI JN.,NEW BONGAIGA,33,322
7526,NEW BONGAIGA,SILIGURI JN.,33,322
7603,KACHEGUDA,KRISHNA RAJA,14,624
7604,KRISHNA RAJA,KACHEGUDA,14,624
7607,NANDED,TIRUPATI,19,1014
7608,TIRUPATI,NANDED,19,1016
7613,NIZAMABAD,QUILON,38,1636
7614,QUILON,NIZAMABAD,39,1641
7644,KAKINADA TOW,TIRUPATI,11,597
7645,RENIGUNTA JN,KAKINADA TOW,10,587
7757,SECUNDERABAD,VIJAYWADA JN,6,314
7758,VIJAYWADA JN,SECUNDERABAD,6,314
7941,KAKINADA TOW,RENIGUNTA JN,12,587
7942,TIRUPATI,KAKINADA TOW,13,597
8001,KHARAGPUR,JHARGRAM,2,39
8002,JHARGRAM,KHARAGPUR,2,39
8014,MIDNAPORE,KHARAGPUR,4,12
8017,KHARAGPUR,JHARGRAM,6,39
8018,JHARGRAM,KHARAGPUR,6,39
8035,KHARAGPUR,BALASORE,19,120
8036,BALASORE,KHARAGPUR,19,120
8051,KHARAGPUR,JHARGRAM,3,39
8052,JHARGRAM,KHARAGPUR,5,39
8061,SHALIMAR,JAIPUR JN.,24,1847
8062,JAIPUR JN.,SHALIMAR,24,1838
8063,KHARAGPUR,BANKURA,17,115
8064,YESVANTPUR J,HOWRAH JN.,16,2039
8065,KHARAGPUR,BANKURA,17,115
8082,BANKURA,BISHNUPUR,6,30
8087,BISHNUPUR,BANKURA,6,30
8101,CHAIBASA,CHAKARADHARP,5,40
8102,CHAKARADHARP,CHAIBASA,5,40
8301,SAMBALPUR JN,BANASWADI,15,1567
8302,BANASWADI,SAMBALPUR JN,15,1567
8403,PURI,SANTRAGACHI,9,495
8404,SANTRAGACHI,PURI,9,497
8501,VISAKHAPATNA,SECUNDERABAD,13,700
8502,SECUNDERABAD,VISAKHAPATNA,13,698
8511,KIRANDUL,VISAKHAPATNA,12,471
8512,VISAKHAPATNA,KIRANDUL,12,471
8567,VISAKHAPATNA,QUILON,29,1571
8568,QUILON,VISAKHAPATNA,29,1578
8573,VISAKHAPATNA,TIRUPATI,15,760
8574,TIRUPATI,VISAKHAPATNA,15,759
8581,BALHARSHAH,CHANDAFORT,2,11
8582,CHANDAFORT,BALHARSHAH,2,11
8617,RANCHI,ANAND VIHAR,15,1365
8618,ANAND VIHAR,RANCHI,15,1356
8627,HOWRAH JN.,RANCHI,13,484
8628,RANCHI,HOWRAH JN.,14,481
8872,DURG,GONDIA JN.,17,133
9003,BANDRA TERMI,HAZRAT NIZAM,5,1355
9004,HAZRAT NIZAM,BANDRA TERMI,5,1358
9005,MUMBAI CENTR,NEW DELHI,4,1373
9006,NEW DELHI,MUMBAI CENTR,4,1376
9011,BANDRA TERMI,BIKANER JN.,20,1209
9012,BIKANER JN.,BANDRA TERMI,20,1211
9433,BANDRA TERMI,GANDHIDHAM J,14,780
9434,GANDHIDHAM J,BANDRA TERMI,14,780
9621,AJMER JN.,BANDRA TERMI,12,1281
9622,BANDRA TERMI,AJMER JN.,12,1281
9721,JAIPUR JN.,UDAIPUR CITY,12,429
9722,UDAIPUR CITY,JAIPUR JN.,12,429
9761,SHRI GANGANA,SURATGARH JN,13,125
9809,KOTA,HAZRAT NIZAM,11,447
9810,HAZRAT NIZAM,KOTA,11,450
10103,CST-MUMBAI,MADGOAN JN.,20,590
10104,MADGOAN JN.,CST-MUMBAI,20,594
10111,CST-MUMBAI,MADGOAN JN.,20,590
10112,MADGOAN JN.,CST-MUMBAI,20,594
10215,MADGOAN JN.,ERNAKULAM. J,13,726
10216,ERNAKULAM. J,MADGOAN JN.,13,727
11001,SAI NAGAR SH,PANDHARPUR,12,348
11002,PANDHARPUR,SAI NAGAR SH,12,348
11003,DADAR,SAWANTWADI R,21,502
11004,SAWANTWADI R,DADAR,21,504
11005,DADAR,PONDICHERRY,39,1636
11006,PONDICHERRY,DADAR,38,1639
11007,CST-MUMBAI,PUNE JN.,12,191
11008,PUNE JN.,CST-MUMBAI,11,191
11009,CST-MUMBAI,PUNE JN.,12,191
11010,PUNE JN.,CST-MUMBAI,11,191
11011,LOKMANYA TIL,NANDED,16,723
11012,NANDED,LOKMANYA TIL,16,723
11013,LOKMANYA TIL,COIMBATORE,34,1515
11014,COIMBATORE,LOKMANYA TIL,34,1515
11015,LOKMANYA TIL,GORAKHPUR JN,47,1678
11016,GORAKHPUR JN,LOKMANYA TIL,46,1677
11017,LOKMANYA TIL,KARAIKAL,30,1631
11018,KARAIKAL,LOKMANYA TIL,30,1634
11019,CST-MUMBAI,BHUBANESWAR,39,1941
11020,BHUBANESWAR,CST-MUMBAI,40,1941
11021,DADAR,TIRUNELVELI,40,1843
11022,TIRUNELVELI,DADAR,39,1845
11023,CST-MUMBAI,CHHATRAPATI,28,517
11024,CHHATRAPATI,CST-MUMBAI,31,517
11025,BHUSAVAL JN.,PUNE JN.,19,545
11026,PUNE JN.,BHUSAVAL JN.,19,545
11027,CST-MUMBAI,CHENNAI CENT,52,1281
11028,CHENNAI CENT,CST-MUMBAI,52,1283
11029,CST-MUMBAI,CHHATRAPATI,35,517
11030,CHHATRAPATI,CST-MUMBAI,34,517
11031,SOLAPUR,BIJAPUR JN,5,108
11032,BIJAPUR JN,SOLAPUR,5,108
11033,PUNE JN.,DARBHANGA JN,30,1955
11034,DARBHANGA JN,PUNE JN.,30,1953
11035,DADAR,MYSORE JN.,27,1210
11036,MYSORE JN.,DADAR,26,1213
11037,PUNE JN.,GORAKHPUR JN,17,1777
11038,GORAKHPUR JN,PUNE JN.,17,1777
11039,CHHATRAPATI,GONDIA JN.,62,1352
11040,GONDIA JN.,CHHATRAPATI,60,1353
11041,CST-MUMBAI,CHENNAI CENT,36,1281
11042,CHENNAI CENT,CST-MUMBAI,34,1283
11043,LOKMANYA TIL,MADURAI JN,27,1696
11044,MADURAI JN,LOKMANYA TIL,26,1700
11045,CHHATRAPATI,DHANBAD JN.,39,2894
11046,DHANBAD JN.,CHHATRAPATI,39,2892
11047,MIRAJ JN.,HUBLI JN.,12,278
11048,HUBLI JN.,MIRAJ JN.,12,279
11049,AHMEDABAD,CHHATRAPATI,18,949
11050,CHHATRAPATI,AHMEDABAD,18,949
11051,SOLAPUR,CHHATRAPATI,9,314
11052,CHHATRAPATI,SOLAPUR,9,314
11053,LOKMANYA TIL,AZAMGARH,17,1552
11054,AZAMGARH,LOKMANYA TIL,17,1551
11055,LOKMANYA TIL,GORAKHPUR JN,23,1732
11056,GORAKHPUR JN,LOKMANYA TIL,23,1732
11057,CST-MUMBAI,AMRITSAR JN.,90,2026
11058,AMRITSAR JN.,CST-MUMBAI,91,2029
11059,LOKMANYA TIL,CHHAPRA JN.,24,1772
11060,CHHAPRA JN.,LOKMANYA TIL,24,1770
11061,LOKMANYA TIL,DARBHANGA JN,41,1885
11062,DARBHANGA JN,LOKMANYA TIL,39,1883
11063,CHENNAI EGMO,SALEM JN.,14,352
11064,SALEM JN.,CHENNAI EGMO,14,352
11067,LOKMANYA TIL,FAIZABAD JN.,20,1510
11068,FAIZABAD JN.,LOKMANYA TIL,20,1509
11071,LOKMANYA TIL,VARANASI JN.,43,1645
11072,VARANASI JN.,LOKMANYA TIL,41,1647
11073,LOKMANYA TIL,CHENNAI CENT,18,1265
11074,CHENNAI CENT,LOKMANYA TIL,17,1267
11075,LOKMANYA TIL,BIDAR,13,651
11076,BIDAR,LOKMANYA TIL,13,651
11077,PUNE JN.,JAMMU TAWI,67,2155
11078,JAMMU TAWI,PUNE JN.,65,2157
11079,LOKMANYA TIL,GORAKHPUR JN,25,1745
11080,GORAKHPUR JN,LOKMANYA TIL,24,1745
11081,LOKMANYA TIL,GORAKHPUR JN,20,1731
11082,GORAKHPUR JN,LOKMANYA TIL,19,1731
11083,LOKMANYA TIL,KAZIPET JN.,29,1153
11084,KAZIPET JN.,LOKMANYA TIL,28,1153
11085,LOKMANYA TIL,MADGOAN JN.,11,574
11086,MADGOAN JN.,LOKMANYA TIL,11,578
11087,VERAVAL,PUNE JN.,26,1053
11088,PUNE JN.,VERAVAL,25,1053
11089,BHAGAT-KI-KO,PUNE JN.,26,1074
11090,PUNE JN.,BHAGAT-KI-KO,26,1072
11091,NEW BHUJ,PUNE JN.,24,981
11092,PUNE JN.,NEW BHUJ,24,981
11093,CST-MUMBAI,VARANASI JN.,27,1516
11094,VARANASI JN.,CST-MUMBAI,26,1515
11095,AHMEDABAD,PUNE JN.,17,623
11096,PUNE JN.,AHMEDABAD,16,622
11097,PUNE JN.,ERNAKULAM. J,33,1278
11098,ERNAKULAM. J,PUNE JN.,32,1279
11101,PUNE JN.,GWALIOR JN,23,1373
11102,GWALIOR JN,PUNE JN.,23,1373
11103,JHANSI JN,BANDRA TERMI,21,1321
11104,BANDRA TERMI,JHANSI JN,21,1321
11107,GWALIOR JN,VARANASI JN.,31,629
11108,VARANASI JN.,GWALIOR JN,37,629
11109,JHANSI JN,LUCKNOW JN.,11,291
11110,LUCKNOW JN.,JHANSI JN,11,291
11111,GWALIOR JN,"BALRAMPUR,",12,939
11112,"BALRAMPUR,",GWALIOR JN,12,941
11123,BARAUNI JN.,GWALIOR JN,49,1051
11124,GWALIOR JN,BARAUNI JN.,49,1054
11125,INDORE BG,GWALIOR JN,11,561
11126,GWALIOR JN,INDORE BG,11,561
11201,LOKMANYA TIL,AJNI,26,1015
11202,AJNI,LOKMANYA TIL,26,1015
11203,NAGPUR JN.(C,JAIPUR JN.,28,1340
11204,JAIPUR JN.,NAGPUR JN.(C,28,1340
11205,LOKMANYA TIL,NIZAMABAD,20,699
11206,NIZAMABAD,LOKMANYA TIL,20,699
11265,JABALPUR,AMBIKAPUR,14,432
11266,AMBIKAPUR,JABALPUR,14,434
11272,BHOPAL,ITARSI,47,737
11301,CST-MUMBAI,KRANTIVIRA S,35,1154
11302,KRANTIVIRA S,CST-MUMBAI,34,1154
11303,HYDERABAD DE,CHHATRAPATI,38,989
11304,CHHATRAPATI,HYDERABAD DE,38,987
11307,GULBARGA,HYDERABAD DE,7,221
11308,HYDERABAD DE,GULBARGA,7,223
11309,SOLAPUR,MIRAJ JN.,14,267
11310,MIRAJ JN.,SOLAPUR,14,267
11401,CST-MUMBAI,NAGPUR JN.(C,34,1053
11402,NAGPUR JN.(C,CST-MUMBAI,34,1052
11403,NAGPUR JN.(C,CHHATRAPATI,22,1026
11404,CHHATRAPATI,NAGPUR JN.(C,22,1026
11405,PUNE JN.,AMRAVATI,18,811
11406,AMRAVATI,PUNE JN.,18,812
11407,PUNE JN.,LUCKNOW JN.,17,1478
11408,LUCKNOW JN.,PUNE JN.,17,1478
11423,SOLAPUR,HUBLI JN.,14,357
11424,HUBLI JN.,SOLAPUR,14,356
11447,JABALPUR,HOWRAH JN.,45,1156
11448,HOWRAH JN.,JABALPUR,46,1155
11449,JABALPUR,SHRI MATA VA,34,1561
11450,SHRI MATA VA,JABALPUR,31,1564
11463,SOMNATH,JABALPUR,50,1416
11464,JABALPUR,SOMNATH,50,1417
11465,SOMNATH,JABALPUR,49,1572
11466,JABALPUR,SOMNATH,50,1575
11651,JABALPUR,SINGRAULI,14,344
11652,SINGRAULI,JABALPUR,14,345
11701,JABALPUR,INDORE BG,16,751
11702,INDORE BG,JABALPUR,16,751
11703,REWA,MHOW,20,823
11704,MHOW,REWA,20,821
11801,JHANSI JN,ETAWAH,6,215
11802,ETAWAH,JHANSI JN,6,215
11901,MATHURA JN.,KURUKSHETRA,13,292
11902,KURUKSHETRA,MATHURA JN.,13,294
12001,HABIBGANJ,NEW DELHI,10,688
12002,NEW DELHI,HABIBGANJ,10,690
12003,LUCKNOW JN.,NEW DELHI,7,504
12004,NEW DELHI,LUCKNOW JN.,7,504
12005,NEW DELHI,KALKA,5,268
12006,KALKA,NEW DELHI,5,268
12007,CHENNAI CENT,MYSORE JN.,4,498
12008,MYSORE JN.,CHENNAI CENT,4,499
12009,MUMBAI CENTR,AHMEDABAD,9,490
12010,AHMEDABAD,MUMBAI CENTR,9,490
12011,NEW DELHI,KALKA,6,268
12012,KALKA,NEW DELHI,6,268
12013,NEW DELHI,AMRITSAR JN.,8,447
12014,AMRITSAR JN.,NEW DELHI,8,447
12015,NEW DELHI,AJMER JN.,10,442
12016,AJMER JN.,NEW DELHI,10,442
12017,NEW DELHI,DEHRA DUN,8,314
12018,DEHRA DUN,NEW DELHI,8,314
12019,HOWRAH JN.,RANCHI,10,436
12020,RANCHI,HOWRAH JN.,10,434
12021,HOWRAH JN.,BARBIL,10,402
12022,BARBIL,HOWRAH JN.,11,401
12023,HOWRAH JN.,PATNA JN.,14,530
12024,PATNA JN.,HOWRAH JN.,14,531
12025,PUNE JN.,SECUNDERABAD,8,598
12026,SECUNDERABAD,PUNE JN.,8,598
12027,CHENNAI CENT,KRANTIVIRA S,4,360
12028,KRANTIVIRA S,CHENNAI CENT,4,361
12029,NEW DELHI,AMRITSAR JN.,8,447
12030,AMRITSAR JN.,NEW DELHI,8,447
12031,NEW DELHI,AMRITSAR JN.,8,447
12032,AMRITSAR JN.,NEW DELHI,8,447
12033,KANPUR CENTR,NEW DELHI,5,430
12034,NEW DELHI,KANPUR CENTR,4,430
12035,JAIPUR JN.,AGRA  FORT,4,240
12036,AGRA  FORT,JAIPUR JN.,4,240
12037,NEW DELHI,LUDHIANA JN.,7,328
12038,LUDHIANA JN.,NEW DELHI,7,328
12039,KATHGODAM,NEW DELHI,8,283
12040,NEW DELHI,KATHGODAM,8,283
12041,HOWRAH JN.,NEW JALPAIGU,7,560
12042,NEW JALPAIGU,HOWRAH JN.,7,560
12043,NEW DELHI,MOGA,8,397
12044,MOGA,NEW DELHI,8,397
12045,NEW DELHI,CHANDIGARH,4,243
12046,CHANDIGARH,NEW DELHI,4,243
12047,NEW DELHI,FIROZPUR CAN,10,385
12048,FIROZPUR CAN,NEW DELHI,10,385
12049,AGRA CANTT,HAZRAT NIZAM,2,181
12050,HAZRAT NIZAM,AGRA CANTT,2,183
12051,DADAR,MADGOAN JN.,9,581
12052,MADGOAN JN.,DADAR,9,585
12053,HARIDWAR JN,AMRITSAR JN.,11,406
12054,AMRITSAR JN.,HARIDWAR JN,11,406
12055,NEW DELHI,DEHRA DUN,9,304
12056,DEHRA DUN,NEW DELHI,10,304
12057,NEW DELHI,UNA HIMACHAL,14,386
12058,UNA HIMACHAL,NEW DELHI,14,386
12059,KOTA,HAZRAT NIZAM,10,447
12060,HAZRAT NIZAM,KOTA,10,450
12061,HABIBGANJ,JABALPUR,10,330
12062,JABALPUR,HABIBGANJ,10,330
12065,AJMER JN.,HAZRAT NIZAM,10,389
12066,HAZRAT NIZAM,AJMER JN.,10,389
12067,GUWAHATI,JORHAT TOWN,11,376
12068,JORHAT TOWN,GUWAHATI,11,375
12069,RAIGARH,GONDIA JN.,15,419
12070,GONDIA JN.,RAIGARH,15,411
12071,DADAR,JALNA,7,422
12072,JALNA,DADAR,7,422
12073,HOWRAH JN.,BHUBANESWAR,9,442
12074,BHUBANESWAR,HOWRAH JN.,9,441
12075,CALICUT,TRIVANDRUM C,12,399
12076,TRIVANDRUM C,CALICUT,12,398
12077,CHENNAI CENT,VIJAYWADA JN,10,453
12078,VIJAYWADA JN,CHENNAI CENT,10,453
12079,KRANTIVIRA S,HUBLI JN.,11,470
12080,HUBLI JN.,KRANTIVIRA S,11,468
12081,KANNUR,TRIVANDRUM C,15,500
12082,TRIVANDRUM C,KANNUR,15,499
12083,MAYILADUTURA,COIMBATORE,10,361
12084,COIMBATORE,MAYILADUTURA,10,361
12085,GUWAHATI,DIBRUGARH,10,506
12086,DIBRUGARH,GUWAHATI,10,505
12087,NAHARLAGUN,GUWAHATI,8,332
12088,GUWAHATI,NAHARLAGUN,8,332
12101,LOKMANYA TIL,HOWRAH JN.,16,1956
12102,HOWRAH JN.,LOKMANYA TIL,17,1963
12103,PUNE JN.,LUCKNOW JN.,13,1478
12104,LUCKNOW JN.,PUNE JN.,13,1478
12105,CST-MUMBAI,GONDIA JN.,26,971
12106,GONDIA JN.,CST-MUMBAI,27,972
12107,LOKMANYA TIL,LUCKNOW JN.,11,1408
12108,LUCKNOW JN.,LOKMANYA TIL,11,1408
12109,CST-MUMBAI,MANMAD JN.,10,260
12110,MANMAD JN.,CST-MUMBAI,10,260
12111,CST-MUMBAI,AMRAVATI,14,676
12112,AMRAVATI,CST-MUMBAI,14,676
12113,PUNE JN.,NAGPUR JN.(C,9,895
12114,NAGPUR JN.(C,PUNE JN.,9,895
12115,CST-MUMBAI,SOLAPUR,14,456
12116,SOLAPUR,CST-MUMBAI,15,457
12117,LOKMANYA TIL,MANMAD JN.,10,244
12118,MANMAD JN.,LOKMANYA TIL,10,244
12119,AMRAVATI,AJNI,5,180
12120,AJNI,AMRAVATI,5,180
12121,JABALPUR,HAZRAT NIZAM,7,883
12122,HAZRAT NIZAM,JABALPUR,7,886
12123,CST-MUMBAI,PUNE JN.,5,191
12124,PUNE JN.,CST-MUMBAI,4,191
12125,CST-MUMBAI,PUNE JN.,8,190
12126,PUNE JN.,CST-MUMBAI,7,190
12127,CST-MUMBAI,PUNE JN.,6,191
12128,PUNE JN.,CST-MUMBAI,5,191
12129,PUNE JN.,HOWRAH JN.,30,2026
12130,HOWRAH JN.,PUNE JN.,30,2033
12131,DADAR,SAI NAGAR SH,8,330
12132,SAI NAGAR SH,DADAR,8,330
12133,CST-MUMBAI,MANGALORE JN,14,903
